MODEL,CreatedDate
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),02/07/2023
IONIQ 6 ELECTRIC AWD,02/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,04/07/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,04/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),04/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,07/07/2023
IONIQ 6 ELECTRIC AWD,08/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/07/2023
IONIQ 5 ELECTRIC 2WD,09/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,09/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),09/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,09/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),09/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),10/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),15/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),15/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),19/07/2023
IONIQ 6 ELECTRIC AWD,19/07/2023
IONIQ 6 ELECTRIC AWD,19/07/2023
IONIQ 6 ELECTRIC AWD,20/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,20/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,21/07/2023
IONIQ 6 ELECTRIC AWD,21/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),21/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/07/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,22/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),23/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),24/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),25/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/07/2023
KONA 1.6 DCT GL HYBRID,27/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),28/07/2023
STARIA 3.5 AUTO (S/R),28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),30/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),30/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),30/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),31/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/08/2023
KONA 1.6 DCT GL HYBRID,04/08/2023
TUCSON 1.6 TURBO HYBRID (S/R),04/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/08/2023
KONA 1.6 DCT GL HYBRID,05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,07/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 6 ELECTRIC AWD,08/08/2023
